,date_str,sp500,djia,date_ex1,date_ex2,date_ex3
319,2019-06-25,2917.38,26548.22,June 25 2019,"Tuesday, 2019-06-25","Jun-25, 19"
320,2019-06-26,2913.78,26536.82,June 26 2019,"Wednesday, 2019-06-26","Jun-26, 19"
321,2019-06-27,2924.92,26526.58,June 27 2019,"Thursday, 2019-06-27","Jun-27, 19"
322,2019-06-28,2941.76,26599.96,June 28 2019,"Friday, 2019-06-28","Jun-28, 19"
323,2019-07-01,2964.33,26717.43,July 01 2019,"Monday, 2019-07-01","Jul-01, 19"
324,2019-07-02,2973.01,26786.68,July 02 2019,"Tuesday, 2019-07-02","Jul-02, 19"
325,2019-07-03,2995.82,26966.0,July 03 2019,"Wednesday, 2019-07-03","Jul-03, 19"
326,2019-07-04,,,July 04 2019,"Thursday, 2019-07-04","Jul-04, 19"
327,2019-07-05,2990.41,26922.12,July 05 2019,"Friday, 2019-07-05","Jul-05, 19"
328,2019-07-08,2975.95,26806.14,July 08 2019,"Monday, 2019-07-08","Jul-08, 19"
329,2019-07-09,2979.63,26783.49,July 09 2019,"Tuesday, 2019-07-09","Jul-09, 19"
330,2019-07-10,2993.07,26860.2,July 10 2019,"Wednesday, 2019-07-10","Jul-10, 19"
331,2019-07-11,2999.91,27088.08,July 11 2019,"Thursday, 2019-07-11","Jul-11, 19"
332,2019-07-12,3013.77,27332.03,July 12 2019,"Friday, 2019-07-12","Jul-12, 19"
333,2019-07-15,3014.3,27359.16,July 15 2019,"Monday, 2019-07-15","Jul-15, 19"
334,2019-07-16,3004.04,27335.63,July 16 2019,"Tuesday, 2019-07-16","Jul-16, 19"
335,2019-07-17,2984.42,27219.85,July 17 2019,"Wednesday, 2019-07-17","Jul-17, 19"
336,2019-07-18,2995.11,27222.97,July 18 2019,"Thursday, 2019-07-18","Jul-18, 19"
337,2019-07-19,2976.61,27154.2,July 19 2019,"Friday, 2019-07-19","Jul-19, 19"
338,2019-07-22,2985.03,27171.9,July 22 2019,"Monday, 2019-07-22","Jul-22, 19"
339,2019-07-23,3005.47,27349.19,July 23 2019,"Tuesday, 2019-07-23","Jul-23, 19"
340,2019-07-24,3019.56,27269.97,July 24 2019,"Wednesday, 2019-07-24","Jul-24, 19"
341,2019-07-25,3003.67,27140.98,July 25 2019,"Thursday, 2019-07-25","Jul-25, 19"
342,2019-07-26,3025.86,27192.45,July 26 2019,"Friday, 2019-07-26","Jul-26, 19"
343,2019-07-29,3020.97,27221.35,July 29 2019,"Monday, 2019-07-29","Jul-29, 19"
344,2019-07-30,3013.18,27198.02,July 30 2019,"Tuesday, 2019-07-30","Jul-30, 19"
345,2019-07-31,2980.38,26864.27,July 31 2019,"Wednesday, 2019-07-31","Jul-31, 19"
346,2019-08-01,2953.56,26583.42,August 01 2019,"Thursday, 2019-08-01","Aug-01, 19"
347,2019-08-02,2932.05,26485.01,August 02 2019,"Friday, 2019-08-02","Aug-02, 19"
348,2019-08-05,2844.74,25717.74,August 05 2019,"Monday, 2019-08-05","Aug-05, 19"
349,2019-08-06,2881.77,26029.52,August 06 2019,"Tuesday, 2019-08-06","Aug-06, 19"
350,2019-08-07,2883.98,26007.07,August 07 2019,"Wednesday, 2019-08-07","Aug-07, 19"
351,2019-08-08,2938.09,26378.19,August 08 2019,"Thursday, 2019-08-08","Aug-08, 19"
352,2019-08-09,2918.65,26287.44,August 09 2019,"Friday, 2019-08-09","Aug-09, 19"
353,2019-08-12,2883.75,25907.37,August 12 2019,"Monday, 2019-08-12","Aug-12, 19"
354,2019-08-13,2926.32,26279.91,August 13 2019,"Tuesday, 2019-08-13","Aug-13, 19"
355,2019-08-14,2840.6,25479.42,August 14 2019,"Wednesday, 2019-08-14","Aug-14, 19"
356,2019-08-15,2847.6,25579.39,August 15 2019,"Thursday, 2019-08-15","Aug-15, 19"
357,2019-08-16,2888.68,25886.01,August 16 2019,"Friday, 2019-08-16","Aug-16, 19"
358,2019-08-19,2923.65,26135.79,August 19 2019,"Monday, 2019-08-19","Aug-19, 19"
359,2019-08-20,2900.51,25962.44,August 20 2019,"Tuesday, 2019-08-20","Aug-20, 19"
360,2019-08-21,2924.43,26202.73,August 21 2019,"Wednesday, 2019-08-21","Aug-21, 19"
361,2019-08-22,2922.95,26252.24,August 22 2019,"Thursday, 2019-08-22","Aug-22, 19"
362,2019-08-23,2847.11,25628.9,August 23 2019,"Friday, 2019-08-23","Aug-23, 19"
363,2019-08-26,2878.38,25898.83,August 26 2019,"Monday, 2019-08-26","Aug-26, 19"
364,2019-08-27,2869.16,25777.9,August 27 2019,"Tuesday, 2019-08-27","Aug-27, 19"
365,2019-08-28,2887.94,26036.1,August 28 2019,"Wednesday, 2019-08-28","Aug-28, 19"
366,2019-08-29,2924.58,26362.25,August 29 2019,"Thursday, 2019-08-29","Aug-29, 19"
367,2019-08-30,2926.46,26403.28,August 30 2019,"Friday, 2019-08-30","Aug-30, 19"
368,2019-09-02,,,September 02 2019,"Monday, 2019-09-02","Sep-02, 19"
369,2019-09-03,2906.27,26118.02,September 03 2019,"Tuesday, 2019-09-03","Sep-03, 19"
370,2019-09-04,2937.78,26355.47,September 04 2019,"Wednesday, 2019-09-04","Sep-04, 19"
371,2019-09-05,2976.0,26728.15,September 05 2019,"Thursday, 2019-09-05","Sep-05, 19"
372,2019-09-06,2978.71,26797.46,September 06 2019,"Friday, 2019-09-06","Sep-06, 19"
373,2019-09-09,2978.43,26835.51,September 09 2019,"Monday, 2019-09-09","Sep-09, 19"
374,2019-09-10,2979.39,26909.43,September 10 2019,"Tuesday, 2019-09-10","Sep-10, 19"
375,2019-09-11,3000.93,27137.04,September 11 2019,"Wednesday, 2019-09-11","Sep-11, 19"
376,2019-09-12,3009.57,27182.45,September 12 2019,"Thursday, 2019-09-12","Sep-12, 19"
377,2019-09-13,3007.39,27219.52,September 13 2019,"Friday, 2019-09-13","Sep-13, 19"
378,2019-09-16,2997.96,27076.82,September 16 2019,"Monday, 2019-09-16","Sep-16, 19"
379,2019-09-17,3005.7,27110.8,September 17 2019,"Tuesday, 2019-09-17","Sep-17, 19"
380,2019-09-18,3006.73,27147.08,September 18 2019,"Wednesday, 2019-09-18","Sep-18, 19"
381,2019-09-19,3006.79,27094.79,September 19 2019,"Thursday, 2019-09-19","Sep-19, 19"
382,2019-09-20,2992.07,26935.07,September 20 2019,"Friday, 2019-09-20","Sep-20, 19"
383,2019-09-23,2991.78,26949.99,September 23 2019,"Monday, 2019-09-23","Sep-23, 19"
384,2019-09-24,2966.6,26807.77,September 24 2019,"Tuesday, 2019-09-24","Sep-24, 19"
385,2019-09-25,2984.87,26970.71,September 25 2019,"Wednesday, 2019-09-25","Sep-25, 19"
386,2019-09-26,2977.62,26891.12,September 26 2019,"Thursday, 2019-09-26","Sep-26, 19"
387,2019-09-27,2961.79,26820.25,September 27 2019,"Friday, 2019-09-27","Sep-27, 19"
388,2019-09-30,2976.74,26916.83,September 30 2019,"Monday, 2019-09-30","Sep-30, 19"
389,2019-10-01,2940.25,26573.04,October 01 2019,"Tuesday, 2019-10-01","Oct-01, 19"
390,2019-10-02,2887.61,26078.62,October 02 2019,"Wednesday, 2019-10-02","Oct-02, 19"
391,2019-10-03,2910.63,26201.04,October 03 2019,"Thursday, 2019-10-03","Oct-03, 19"
392,2019-10-04,2952.01,26573.72,October 04 2019,"Friday, 2019-10-04","Oct-04, 19"
393,2019-10-07,2938.79,26478.02,October 07 2019,"Monday, 2019-10-07","Oct-07, 19"
394,2019-10-08,2893.06,26164.04,October 08 2019,"Tuesday, 2019-10-08","Oct-08, 19"
395,2019-10-09,2919.4,26346.01,October 09 2019,"Wednesday, 2019-10-09","Oct-09, 19"
396,2019-10-10,2938.13,26496.67,October 10 2019,"Thursday, 2019-10-10","Oct-10, 19"
397,2019-10-11,2970.27,26816.59,October 11 2019,"Friday, 2019-10-11","Oct-11, 19"
398,2019-10-14,2966.15,26787.36,October 14 2019,"Monday, 2019-10-14","Oct-14, 19"
399,2019-10-15,2995.68,27024.8,October 15 2019,"Tuesday, 2019-10-15","Oct-15, 19"
400,2019-10-16,2989.69,27001.98,October 16 2019,"Wednesday, 2019-10-16","Oct-16, 19"
401,2019-10-17,2997.95,27025.88,October 17 2019,"Thursday, 2019-10-17","Oct-17, 19"
402,2019-10-18,2986.2,26770.2,October 18 2019,"Friday, 2019-10-18","Oct-18, 19"
403,2019-10-21,3006.72,26827.64,October 21 2019,"Monday, 2019-10-21","Oct-21, 19"
404,2019-10-22,2995.99,26788.1,October 22 2019,"Tuesday, 2019-10-22","Oct-22, 19"
405,2019-10-23,3004.52,26833.95,October 23 2019,"Wednesday, 2019-10-23","Oct-23, 19"
406,2019-10-24,3010.29,26805.53,October 24 2019,"Thursday, 2019-10-24","Oct-24, 19"
407,2019-10-25,3022.55,26958.06,October 25 2019,"Friday, 2019-10-25","Oct-25, 19"
408,2019-10-28,3039.42,27090.72,October 28 2019,"Monday, 2019-10-28","Oct-28, 19"
409,2019-10-29,3036.89,27071.42,October 29 2019,"Tuesday, 2019-10-29","Oct-29, 19"
410,2019-10-30,3046.77,27186.69,October 30 2019,"Wednesday, 2019-10-30","Oct-30, 19"
411,2019-10-31,3037.56,27046.23,October 31 2019,"Thursday, 2019-10-31","Oct-31, 19"
412,2019-11-01,3066.91,27347.36,November 01 2019,"Friday, 2019-11-01","Nov-01, 19"
413,2019-11-04,3078.27,27462.11,November 04 2019,"Monday, 2019-11-04","Nov-04, 19"
414,2019-11-05,3074.62,27492.63,November 05 2019,"Tuesday, 2019-11-05","Nov-05, 19"
415,2019-11-06,3076.78,27492.56,November 06 2019,"Wednesday, 2019-11-06","Nov-06, 19"
416,2019-11-07,3085.18,27674.8,November 07 2019,"Thursday, 2019-11-07","Nov-07, 19"
417,2019-11-08,3093.08,27681.24,November 08 2019,"Friday, 2019-11-08","Nov-08, 19"
418,2019-11-11,3087.01,27691.49,November 11 2019,"Monday, 2019-11-11","Nov-11, 19"
419,2019-11-12,3091.84,27691.49,November 12 2019,"Tuesday, 2019-11-12","Nov-12, 19"
420,2019-11-13,3094.04,27783.59,November 13 2019,"Wednesday, 2019-11-13","Nov-13, 19"
421,2019-11-14,3096.63,27781.96,November 14 2019,"Thursday, 2019-11-14","Nov-14, 19"
422,2019-11-15,3120.46,28004.89,November 15 2019,"Friday, 2019-11-15","Nov-15, 19"
423,2019-11-18,3122.03,28036.22,November 18 2019,"Monday, 2019-11-18","Nov-18, 19"
424,2019-11-19,3120.18,27934.02,November 19 2019,"Tuesday, 2019-11-19","Nov-19, 19"
425,2019-11-20,3108.46,27821.09,November 20 2019,"Wednesday, 2019-11-20","Nov-20, 19"
426,2019-11-21,3103.54,27766.29,November 21 2019,"Thursday, 2019-11-21","Nov-21, 19"
427,2019-11-22,3110.29,27875.62,November 22 2019,"Friday, 2019-11-22","Nov-22, 19"
428,2019-11-25,3133.64,28066.47,November 25 2019,"Monday, 2019-11-25","Nov-25, 19"
429,2019-11-26,3140.52,28121.68,November 26 2019,"Tuesday, 2019-11-26","Nov-26, 19"
430,2019-11-27,3153.63,28164.0,November 27 2019,"Wednesday, 2019-11-27","Nov-27, 19"
431,2019-11-28,,,November 28 2019,"Thursday, 2019-11-28","Nov-28, 19"
432,2019-11-29,3140.98,28051.41,November 29 2019,"Friday, 2019-11-29","Nov-29, 19"
433,2019-12-02,3113.87,27783.04,December 02 2019,"Monday, 2019-12-02","Dec-02, 19"
434,2019-12-03,3093.2,27502.81,December 03 2019,"Tuesday, 2019-12-03","Dec-03, 19"
435,2019-12-04,3112.76,27649.78,December 04 2019,"Wednesday, 2019-12-04","Dec-04, 19"
436,2019-12-05,3117.43,27677.79,December 05 2019,"Thursday, 2019-12-05","Dec-05, 19"
437,2019-12-06,3145.91,28015.06,December 06 2019,"Friday, 2019-12-06","Dec-06, 19"
438,2019-12-09,3135.96,27909.6,December 09 2019,"Monday, 2019-12-09","Dec-09, 19"
439,2019-12-10,3132.52,27881.72,December 10 2019,"Tuesday, 2019-12-10","Dec-10, 19"
440,2019-12-11,3141.63,27911.3,December 11 2019,"Wednesday, 2019-12-11","Dec-11, 19"
441,2019-12-12,3168.57,28132.05,December 12 2019,"Thursday, 2019-12-12","Dec-12, 19"
442,2019-12-13,3168.8,28135.38,December 13 2019,"Friday, 2019-12-13","Dec-13, 19"
443,2019-12-16,3191.45,28235.89,December 16 2019,"Monday, 2019-12-16","Dec-16, 19"
444,2019-12-17,3192.52,28267.16,December 17 2019,"Tuesday, 2019-12-17","Dec-17, 19"
445,2019-12-18,3191.14,28239.28,December 18 2019,"Wednesday, 2019-12-18","Dec-18, 19"
446,2019-12-19,3205.37,28376.96,December 19 2019,"Thursday, 2019-12-19","Dec-19, 19"
447,2019-12-20,3221.22,28455.09,December 20 2019,"Friday, 2019-12-20","Dec-20, 19"
448,2019-12-23,3224.01,28551.53,December 23 2019,"Monday, 2019-12-23","Dec-23, 19"
449,2019-12-24,3223.38,28515.45,December 24 2019,"Tuesday, 2019-12-24","Dec-24, 19"
450,2019-12-25,,,December 25 2019,"Wednesday, 2019-12-25","Dec-25, 19"
451,2019-12-26,3239.91,28621.39,December 26 2019,"Thursday, 2019-12-26","Dec-26, 19"
452,2019-12-27,3240.02,28645.26,December 27 2019,"Friday, 2019-12-27","Dec-27, 19"
453,2019-12-30,3221.29,28462.14,December 30 2019,"Monday, 2019-12-30","Dec-30, 19"
454,2019-12-31,3230.78,28538.44,December 31 2019,"Tuesday, 2019-12-31","Dec-31, 19"
455,2020-01-01,,,January 01 2020,"Wednesday, 2020-01-01","Jan-01, 20"
456,2020-01-02,3257.85,28868.8,January 02 2020,"Thursday, 2020-01-02","Jan-02, 20"
457,2020-01-03,3234.85,28634.88,January 03 2020,"Friday, 2020-01-03","Jan-03, 20"
458,2020-01-06,3246.28,28703.38,January 06 2020,"Monday, 2020-01-06","Jan-06, 20"
459,2020-01-07,3237.18,28583.68,January 07 2020,"Tuesday, 2020-01-07","Jan-07, 20"
460,2020-01-08,3253.05,28745.09,January 08 2020,"Wednesday, 2020-01-08","Jan-08, 20"
461,2020-01-09,3274.7,28956.9,January 09 2020,"Thursday, 2020-01-09","Jan-09, 20"
462,2020-01-10,3265.35,28823.77,January 10 2020,"Friday, 2020-01-10","Jan-10, 20"
463,2020-01-13,3288.13,28907.05,January 13 2020,"Monday, 2020-01-13","Jan-13, 20"
464,2020-01-14,3283.15,28939.67,January 14 2020,"Tuesday, 2020-01-14","Jan-14, 20"
465,2020-01-15,3289.29,29030.22,January 15 2020,"Wednesday, 2020-01-15","Jan-15, 20"
466,2020-01-16,3316.81,29297.64,January 16 2020,"Thursday, 2020-01-16","Jan-16, 20"
467,2020-01-17,3329.62,29348.1,January 17 2020,"Friday, 2020-01-17","Jan-17, 20"
468,2020-01-20,,,January 20 2020,"Monday, 2020-01-20","Jan-20, 20"
469,2020-01-21,3320.79,29196.04,January 21 2020,"Tuesday, 2020-01-21","Jan-21, 20"
470,2020-01-22,3321.75,29186.27,January 22 2020,"Wednesday, 2020-01-22","Jan-22, 20"
471,2020-01-23,3325.54,29160.09,January 23 2020,"Thursday, 2020-01-23","Jan-23, 20"
472,2020-01-24,3295.47,28989.73,January 24 2020,"Friday, 2020-01-24","Jan-24, 20"
473,2020-01-27,3243.63,28535.8,January 27 2020,"Monday, 2020-01-27","Jan-27, 20"
474,2020-01-28,3276.24,28722.85,January 28 2020,"Tuesday, 2020-01-28","Jan-28, 20"
475,2020-01-29,3273.4,28734.45,January 29 2020,"Wednesday, 2020-01-29","Jan-29, 20"
476,2020-01-30,3283.66,28859.44,January 30 2020,"Thursday, 2020-01-30","Jan-30, 20"
477,2020-01-31,3225.52,28256.03,January 31 2020,"Friday, 2020-01-31","Jan-31, 20"
478,2020-02-03,3248.92,28399.81,February 03 2020,"Monday, 2020-02-03","Feb-03, 20"
479,2020-02-04,3297.59,28807.63,February 04 2020,"Tuesday, 2020-02-04","Feb-04, 20"
480,2020-02-05,3334.69,29290.85,February 05 2020,"Wednesday, 2020-02-05","Feb-05, 20"
481,2020-02-06,3345.78,29379.77,February 06 2020,"Thursday, 2020-02-06","Feb-06, 20"
482,2020-02-07,3327.71,29102.51,February 07 2020,"Friday, 2020-02-07","Feb-07, 20"
483,2020-02-10,3352.09,29276.82,February 10 2020,"Monday, 2020-02-10","Feb-10, 20"
484,2020-02-11,3357.75,29276.34,February 11 2020,"Tuesday, 2020-02-11","Feb-11, 20"
485,2020-02-12,3379.45,29551.42,February 12 2020,"Wednesday, 2020-02-12","Feb-12, 20"
486,2020-02-13,3373.94,29423.31,February 13 2020,"Thursday, 2020-02-13","Feb-13, 20"
487,2020-02-14,3380.16,29398.08,February 14 2020,"Friday, 2020-02-14","Feb-14, 20"
488,2020-02-17,,,February 17 2020,"Monday, 2020-02-17","Feb-17, 20"
489,2020-02-18,3370.29,29232.19,February 18 2020,"Tuesday, 2020-02-18","Feb-18, 20"
490,2020-02-19,3386.15,29348.03,February 19 2020,"Wednesday, 2020-02-19","Feb-19, 20"
491,2020-02-20,3373.23,29219.98,February 20 2020,"Thursday, 2020-02-20","Feb-20, 20"
492,2020-02-21,3337.75,28992.41,February 21 2020,"Friday, 2020-02-21","Feb-21, 20"
493,2020-02-24,3225.89,27960.8,February 24 2020,"Monday, 2020-02-24","Feb-24, 20"
494,2020-02-25,3128.21,27081.36,February 25 2020,"Tuesday, 2020-02-25","Feb-25, 20"
495,2020-02-26,3116.39,26957.59,February 26 2020,"Wednesday, 2020-02-26","Feb-26, 20"
496,2020-02-27,2978.76,25766.64,February 27 2020,"Thursday, 2020-02-27","Feb-27, 20"
497,2020-02-28,2954.22,25409.36,February 28 2020,"Friday, 2020-02-28","Feb-28, 20"
498,2020-03-02,3090.23,26703.32,March 02 2020,"Monday, 2020-03-02","Mar-02, 20"
499,2020-03-03,3003.37,25917.41,March 03 2020,"Tuesday, 2020-03-03","Mar-03, 20"
500,2020-03-04,3130.12,27090.86,March 04 2020,"Wednesday, 2020-03-04","Mar-04, 20"
501,2020-03-05,3023.94,26121.28,March 05 2020,"Thursday, 2020-03-05","Mar-05, 20"
502,2020-03-06,2972.37,25864.78,March 06 2020,"Friday, 2020-03-06","Mar-06, 20"
503,2020-03-09,2746.56,23851.02,March 09 2020,"Monday, 2020-03-09","Mar-09, 20"
504,2020-03-10,2882.23,25018.16,March 10 2020,"Tuesday, 2020-03-10","Mar-10, 20"
505,2020-03-11,2741.38,23553.22,March 11 2020,"Wednesday, 2020-03-11","Mar-11, 20"
506,2020-03-12,2480.64,21200.62,March 12 2020,"Thursday, 2020-03-12","Mar-12, 20"
507,2020-03-13,2711.02,23185.62,March 13 2020,"Friday, 2020-03-13","Mar-13, 20"
508,2020-03-16,2386.13,20188.52,March 16 2020,"Monday, 2020-03-16","Mar-16, 20"
509,2020-03-17,2529.19,21237.38,March 17 2020,"Tuesday, 2020-03-17","Mar-17, 20"
510,2020-03-18,2398.1,19898.92,March 18 2020,"Wednesday, 2020-03-18","Mar-18, 20"
511,2020-03-19,2409.39,20087.19,March 19 2020,"Thursday, 2020-03-19","Mar-19, 20"
512,2020-03-20,2304.92,19173.98,March 20 2020,"Friday, 2020-03-20","Mar-20, 20"
513,2020-03-23,2237.4,18591.93,March 23 2020,"Monday, 2020-03-23","Mar-23, 20"
514,2020-03-24,2447.33,20704.91,March 24 2020,"Tuesday, 2020-03-24","Mar-24, 20"
515,2020-03-25,2475.56,21200.55,March 25 2020,"Wednesday, 2020-03-25","Mar-25, 20"
516,2020-03-26,2630.07,22552.17,March 26 2020,"Thursday, 2020-03-26","Mar-26, 20"
517,2020-03-27,2541.47,21636.78,March 27 2020,"Friday, 2020-03-27","Mar-27, 20"
518,2020-03-30,2626.65,22327.48,March 30 2020,"Monday, 2020-03-30","Mar-30, 20"
519,2020-03-31,2584.59,21917.16,March 31 2020,"Tuesday, 2020-03-31","Mar-31, 20"
520,2020-04-01,2470.5,20943.51,April 01 2020,"Wednesday, 2020-04-01","Apr-01, 20"
521,2020-04-02,2526.9,21413.44,April 02 2020,"Thursday, 2020-04-02","Apr-02, 20"
522,2020-04-03,2488.65,21052.53,April 03 2020,"Friday, 2020-04-03","Apr-03, 20"
523,2020-04-06,2663.68,22679.99,April 06 2020,"Monday, 2020-04-06","Apr-06, 20"
524,2020-04-07,2659.41,22653.86,April 07 2020,"Tuesday, 2020-04-07","Apr-07, 20"
525,2020-04-08,2749.98,23433.57,April 08 2020,"Wednesday, 2020-04-08","Apr-08, 20"
526,2020-04-09,2789.82,23719.37,April 09 2020,"Thursday, 2020-04-09","Apr-09, 20"
527,2020-04-10,,,April 10 2020,"Friday, 2020-04-10","Apr-10, 20"
528,2020-04-13,2761.63,23390.77,April 13 2020,"Monday, 2020-04-13","Apr-13, 20"
529,2020-04-14,2846.06,23949.76,April 14 2020,"Tuesday, 2020-04-14","Apr-14, 20"
530,2020-04-15,2783.36,23504.35,April 15 2020,"Wednesday, 2020-04-15","Apr-15, 20"
531,2020-04-16,2799.55,23537.68,April 16 2020,"Thursday, 2020-04-16","Apr-16, 20"
532,2020-04-17,2874.56,24242.49,April 17 2020,"Friday, 2020-04-17","Apr-17, 20"
533,2020-04-20,2823.16,23650.44,April 20 2020,"Monday, 2020-04-20","Apr-20, 20"
534,2020-04-21,2736.56,23018.88,April 21 2020,"Tuesday, 2020-04-21","Apr-21, 20"
535,2020-04-22,2799.31,23475.82,April 22 2020,"Wednesday, 2020-04-22","Apr-22, 20"
536,2020-04-23,2797.8,23515.26,April 23 2020,"Thursday, 2020-04-23","Apr-23, 20"
537,2020-04-24,2836.74,23775.27,April 24 2020,"Friday, 2020-04-24","Apr-24, 20"
538,2020-04-27,2878.48,24133.78,April 27 2020,"Monday, 2020-04-27","Apr-27, 20"
539,2020-04-28,2863.39,24101.55,April 28 2020,"Tuesday, 2020-04-28","Apr-28, 20"
540,2020-04-29,2939.51,24633.86,April 29 2020,"Wednesday, 2020-04-29","Apr-29, 20"
541,2020-04-30,2912.43,24345.72,April 30 2020,"Thursday, 2020-04-30","Apr-30, 20"
542,2020-05-01,2830.71,23723.69,May 01 2020,"Friday, 2020-05-01","May-01, 20"
543,2020-05-04,2842.74,23749.76,May 04 2020,"Monday, 2020-05-04","May-04, 20"
544,2020-05-05,2868.44,23883.09,May 05 2020,"Tuesday, 2020-05-05","May-05, 20"
545,2020-05-06,2848.42,23664.64,May 06 2020,"Wednesday, 2020-05-06","May-06, 20"
546,2020-05-07,2881.19,23875.89,May 07 2020,"Thursday, 2020-05-07","May-07, 20"
547,2020-05-08,2929.8,24331.32,May 08 2020,"Friday, 2020-05-08","May-08, 20"
548,2020-05-11,2930.32,24221.99,May 11 2020,"Monday, 2020-05-11","May-11, 20"
549,2020-05-12,2870.12,23764.78,May 12 2020,"Tuesday, 2020-05-12","May-12, 20"
550,2020-05-13,2820.0,23247.97,May 13 2020,"Wednesday, 2020-05-13","May-13, 20"
551,2020-05-14,2852.5,23625.34,May 14 2020,"Thursday, 2020-05-14","May-14, 20"
552,2020-05-15,2863.7,23685.42,May 15 2020,"Friday, 2020-05-15","May-15, 20"
553,2020-05-18,2953.91,24597.37,May 18 2020,"Monday, 2020-05-18","May-18, 20"
554,2020-05-19,2922.94,24206.86,May 19 2020,"Tuesday, 2020-05-19","May-19, 20"
555,2020-05-20,2971.61,24575.9,May 20 2020,"Wednesday, 2020-05-20","May-20, 20"
556,2020-05-21,2948.51,24474.12,May 21 2020,"Thursday, 2020-05-21","May-21, 20"
557,2020-05-22,2955.45,24465.16,May 22 2020,"Friday, 2020-05-22","May-22, 20"
558,2020-05-25,,,May 25 2020,"Monday, 2020-05-25","May-25, 20"
559,2020-05-26,2991.77,24995.11,May 26 2020,"Tuesday, 2020-05-26","May-26, 20"
560,2020-05-27,3036.13,25548.27,May 27 2020,"Wednesday, 2020-05-27","May-27, 20"
561,2020-05-28,3029.73,25400.64,May 28 2020,"Thursday, 2020-05-28","May-28, 20"
562,2020-05-29,3044.31,25383.11,May 29 2020,"Friday, 2020-05-29","May-29, 20"
563,2020-06-01,3055.73,25475.02,June 01 2020,"Monday, 2020-06-01","Jun-01, 20"
564,2020-06-02,3080.82,25742.65,June 02 2020,"Tuesday, 2020-06-02","Jun-02, 20"
565,2020-06-03,3122.87,26269.89,June 03 2020,"Wednesday, 2020-06-03","Jun-03, 20"
566,2020-06-04,3112.35,26281.82,June 04 2020,"Thursday, 2020-06-04","Jun-04, 20"
567,2020-06-05,3193.93,27110.98,June 05 2020,"Friday, 2020-06-05","Jun-05, 20"
568,2020-06-08,3232.39,27572.44,June 08 2020,"Monday, 2020-06-08","Jun-08, 20"
569,2020-06-09,3207.18,27272.3,June 09 2020,"Tuesday, 2020-06-09","Jun-09, 20"
570,2020-06-10,3190.14,26989.99,June 10 2020,"Wednesday, 2020-06-10","Jun-10, 20"
571,2020-06-11,3002.1,25128.17,June 11 2020,"Thursday, 2020-06-11","Jun-11, 20"
572,2020-06-12,3041.31,25605.54,June 12 2020,"Friday, 2020-06-12","Jun-12, 20"
573,2020-06-15,3066.59,25763.16,June 15 2020,"Monday, 2020-06-15","Jun-15, 20"
574,2020-06-16,3124.74,26289.98,June 16 2020,"Tuesday, 2020-06-16","Jun-16, 20"
575,2020-06-17,3113.49,26119.61,June 17 2020,"Wednesday, 2020-06-17","Jun-17, 20"
576,2020-06-18,3115.34,26080.1,June 18 2020,"Thursday, 2020-06-18","Jun-18, 20"
577,2020-06-19,3097.74,25871.46,June 19 2020,"Friday, 2020-06-19","Jun-19, 20"
578,2020-06-22,3117.86,26024.96,June 22 2020,"Monday, 2020-06-22","Jun-22, 20"
579,2020-06-23,3131.29,26156.1,June 23 2020,"Tuesday, 2020-06-23","Jun-23, 20"
580,2020-06-24,3050.33,25445.94,June 24 2020,"Wednesday, 2020-06-24","Jun-24, 20"
581,2020-06-25,3083.76,25745.6,June 25 2020,"Thursday, 2020-06-25","Jun-25, 20"
582,2020-06-26,3009.05,25015.55,June 26 2020,"Friday, 2020-06-26","Jun-26, 20"
583,2020-06-29,3053.24,25595.8,June 29 2020,"Monday, 2020-06-29","Jun-29, 20"
584,2020-06-30,3100.29,25812.88,June 30 2020,"Tuesday, 2020-06-30","Jun-30, 20"
585,2020-07-01,3115.86,25734.97,July 01 2020,"Wednesday, 2020-07-01","Jul-01, 20"
586,2020-07-02,3130.01,25827.36,July 02 2020,"Thursday, 2020-07-02","Jul-02, 20"
587,2020-07-03,,,July 03 2020,"Friday, 2020-07-03","Jul-03, 20"
588,2020-07-06,3179.72,26287.03,July 06 2020,"Monday, 2020-07-06","Jul-06, 20"
589,2020-07-07,3145.32,25890.18,July 07 2020,"Tuesday, 2020-07-07","Jul-07, 20"
590,2020-07-08,3169.94,26067.28,July 08 2020,"Wednesday, 2020-07-08","Jul-08, 20"
591,2020-07-09,3152.05,25706.09,July 09 2020,"Thursday, 2020-07-09","Jul-09, 20"
592,2020-07-10,3185.04,26075.3,July 10 2020,"Friday, 2020-07-10","Jul-10, 20"
593,2020-07-13,3155.22,26085.8,July 13 2020,"Monday, 2020-07-13","Jul-13, 20"
594,2020-07-14,3197.52,26642.59,July 14 2020,"Tuesday, 2020-07-14","Jul-14, 20"
595,2020-07-15,3226.56,26870.1,July 15 2020,"Wednesday, 2020-07-15","Jul-15, 20"
596,2020-07-16,3215.57,26734.71,July 16 2020,"Thursday, 2020-07-16","Jul-16, 20"
597,2020-07-17,3224.73,26671.95,July 17 2020,"Friday, 2020-07-17","Jul-17, 20"
598,2020-07-20,3251.84,26680.87,July 20 2020,"Monday, 2020-07-20","Jul-20, 20"
599,2020-07-21,3257.3,26840.4,July 21 2020,"Tuesday, 2020-07-21","Jul-21, 20"
